nun	priest
defeat	winning
escape	stay
head	base
precise	inconsistent
francophobia	gallophilia
feet	hands
dysthymia	euphoria
intraspecies	interspecies
lulu	dog
undermentioned	aforementioned
impurely	purely
monaural	stereo
stereophonic	monophonic
constructible	inconstructible
governmentalize	privatize
eat	fast
intelligibly	unintelligibly
salt	desalt
northerly	southerly
lichenized	nonlichenized
employ	off
avoidability	unavoidability
protest	for
stick	off
lightmans	darkmans
priority	posteriority
cell	land
unalike	alike
eurybiomic	stenobiomic
hypothesis	fact
christmas	easter
weight	lightness
exoterica	esoterica
rise	sundown
unpremeditated	premeditated
hydrated	dehydrated
wave	ebb
went	stay
sacralization	desacralization
mass	volume
fight	peace
understate	overstate
fullwidth	halfwidth
hypertrabeculation	hypotrabeculation
ndc	ndr
dress	disrobe
frail	strong
grandparent	grandchild
out	inside
shock	calm
credulity	incredulity
fear	afraid
endless	limited
impeachability	unimpeachability
rounded	unrounded
bellicist	dovish
veridical	falsidical
reason	madness
witful	witless
machicolated	unmachicolated
play	rest
simile	metaphor
illegality	legality
complexification	simplification
ungreen	green
intramental	extramental
sum	subtract
accurate	inaccurate
goodest	baddest
cruel	kind
need	satisfied
color	decolor
cover	unveil
cry	whisper
acquisition	abandonment
lightfaced	boldfaced
sewer	above
company	lonely
fire	ice
cacodemon	agathodemon
wash	making
thoughtfulness	thoughtlessness
pass	hold
fall	fly
apodictic	problematic
interconsonantally	intervocalically
elect	reprobate
unautomatable	automatable
let	forbid
tabify	untabify
conspicuousness	inconspicuousness
organic	inorganic
uncheck	check
voluntarily	involuntarily
pro	anti
risk	safe
eurus	westerly
surprise	predictable
defeatable	insuperable
faithfully	unfaithfully
immaterial	material
persophobia	persophilia
saltwater	freshwater
matriarch	paterfamilias
asociality	sociality
growth	shrink
disjunctive	conjunctive
calm	chaos
admissibility	inadmissibility
inn	out
shade	bright
slumber	awake
decrement	increment
nearside	farside
statue	picture
bit	lot
reparable	irreparable
unobvious	obvious
impressively	unimpressively
postnucleoplasty	prenucleoplasty
anisosyllabism	isosyllabism
illegitimate	authentic
precise	imprecise
fair	unequal
dayside	nightside
desegregation	segregation
flow	hold
mole	mark
unseaworthy	seaworthy
chick	guy
desacralization	sanctification
rootedness	rootlessness
inanimacy	animacy
whole	half
boreas	auster
color	drab
logout	logon
downfield	upfield
disempower	empower
less	greater
band	drums
deorsum	sursum
loss	win
critically	uncritically
succedent	antecedent
careful	careless
promote	demote
resist	submit
prisoner	man
edge	middle
stemmed	nonstemmed
strongling	weakling
advantage	con
acapnia	hypercapnia
beneath	over
downwards	upwards
exclusion	inclusion
merchant	customer
inexpressibility	expressibility
company	crowd
leave	come
substratophobe	substratomaniac
reachable	unreachable
river	peninsula
unpulverizable	pulverizable
thick	brainy
universal	nonuniversal
libido	destrudo
unnecessary	required
chaos	cosmos
exactness	inexactness
subadditive	superadditive
unhappy	exuberant
inalterable	alterable
mailable	nonmailable
nonpoisonous	venomous
publification	privatization
common	special
cover	show
men	gods
hypophase	epiphase
howl	quiet
ranch	urban
stretch	squish
sympatry	allopatry
lakeward	shoreward
meat	vegetable
comprehensible	incomprehensible
sugar	spice
stepson	stepdaughter
mutton	lamb
brother	sister
gratefulness	unthankfulness
home	apartment
redundancy	hiring
unsuspenseful	suspenseful
defend	attack
repeat	once
misuse	correctly
completeness	incompleteness
printworthy	unprintworthy
break	repair
home	work
show	tell
dive	emerge
ocean	mass
alien	human
respect	abuse
support	down
secretary	boss
serious	jesting
for	against
beautiful	average
greenlight	redlight
recent	past
shelled	unshelled
color	monochrome
weather	news
xenophobia	xenomania
dolor	hedon
polymorphic	monomorphic
appertain	irrelevant
equivalve	inequivalve
nonpressurized	pressurized
depart	arrive
fire	ashes
consolation	first
heterochiral	homochiral
believable	unbelievable
skippable	unskippable
respect	disdain
egestion	ingestion
overperforming	underperforming
levogyre	dextrogyre
sit	stand
sporophytic	gametophytic
heterosociality	homosociality
antepartum	prenatal
closer	opener
longsightedness	nearsightedness
wait	impatience
retard	accelerate
stitch	ravel
highlight	lowlight
organization	disorganized
superable	insuperable
graceful	clumsy
rush	down
idiomatic	unidiomatic
placate	enrage
remorseful	remorseless
reading	listening
manageable	unmanageable
monimostyly	streptostyly
overapproximate	underapproximate
procurable	unprocurable
accountable	unaccountable
exorotation	endorotation
pricy	cheap
construction	destruction
neologism	paleologism
kinkster	normophile
mist	dry
foreslope	backslope
mistakable	distinct
eastmost	westmost
tax	handout
underexplain	overexplain
downforce	upforce
homometallic	heterometallic
accumulation	decumulation
chick	rooster
alphabet	number
trailer	header
negative	nonnegative
monoandry	polyandry
reversible	irreversible
blow	vacuum
wide	narrow
connect	sever
staccato	legato
magnetic	geographic
overrepresent	underrepresent
ordinary	unbelievable
microstructure	macrostructure
recent	time
cdr	car
domable	undomesticable
alloerotic	analloerotic
heat	cold
sheep	wolf
uncle	boy
pygmy	giant
losing	winning
upstream	downstream
strict	lenient
unstartable	startable
animal	mineral
commission	omission
flow	stopping
scarved	scarfless
design	random
inadvertently	advertently
surprise	expectation
cover	reveal
mortification	honor
less	ed
intra	extra
sweeten	sour
timid	aggressive
untranslatability	translatability
unethical	ethical
afterbrain	forebrain
unsteadiness	steadiness
aggregant	antiaggregant
individual	collective
benefit	disadvantage
walk	run
club	spade
trade	keeping
firm	soft
mammal	reptile
ask	demand
atrophy	hypertrophy
overling	underling
rule	obey
pteryla	apterium
inseparably	separably
dare	truth
unæquivocal	æquivocal
unkeen	keen
oligo	multi
radioloud	radioquiet
respect	being
cisgender	genderfluid
exocardial	endocardiac
epigraph	hypograph
savorous	savorless
b.c	ad
inthronize	disenthrone
reverence	profanity
nay	yea
authorisable	unauthorisable
heterocercal	homocercal
antonymy	synonymy
hither	hence
buy	selling
fascism	antifascism
antegrade	retrograde
often	usually
show	disprove
minister	congregation
lord	satan
secure	insecure
inimitable	imitable
ambiguity	unambiguity
blokey	posh
embarrassedly	unembarrassedly
board	interested
punctiliar	durative
honest	lying
antibubble	bubble
auster	boreas
dischuffed	chuffed
decomposable	indecomposable
unashamed	ashamed
control	obey
online	offline
diegetic	nondiegetic
away	being
pessimum	zenith
apologetic	unapologetic
calm	windy
strengthless	strengthful
mistake	answer
atheophobia	religiophobia
familiar	unacquainted
uncontactable	contactable
diamond	coal
difference	sameness
dialogue	introspection
student	teacher
visceral	cerebral
chicken	rooster
complimentary	uncomplimentary
forgivably	unforgivably
uncritically	critically
foolable	unfoolable
monetarize	demonetarize
eternity	sempiternity
demand	nicely
stigmatism	astigmatism
fission	fusion
name	anonymous
papaphilia	papaphobia
onlap	offlap
create	annihilate
join	leave
pair	single
jingoist	dove
geniculocortical	corticogeniculate
overfix	underfix
intro	extro
traction	skid
exact	loose
growth	nondevelopment
muslim	kafir
gynaeceum	andronitis
law	anarchy
sheath	unsheath
hater	fan
sober	drunk
antagonist	agonist
copy	erase
feasible	infeasible
below	aloft
apteral	peripteral
foresyllable	suffix
honeycombed	nonhoneycombed
leash	unleash
paraphilia	normophilia
dim	lit
again	stop
cyberoptimism	cyberpessimism
forgetter	rememberer
francophobia	francophilia
inorganic	organic
incentivize	disincentivize
forwards	backward
shade	sun
underapproximate	overapproximate
inexpert	adept
constructive	destructive
obey	rebel
paint	bare
categorizable	noncategorizable
fluidity	viscosity
lateness	earliness
stick	loose
unitarian	trinitarian
change	payment
credibly	incredibly
indexable	unindexable
pants	shorts
summer	cold
incorrect	proper
ordinary	unique
shower	bathe
preserve	decay
hw	lw
visibility	invisibility
fallibility	infallibility
unproportionable	proportionable
azygetic	syzygetic
inflexible	flexible
extrapolate	interpolate
suckable	unsuckable
penetrable	impenetrable
head	bottom
misery	enjoyment
normoblast	megaloblast
left	rightward
origin	destination
recusable	irrecusable
exstipulate	stipulate
decommission	commission
innerwear	outerwear
inacceptable	acceptable
continent	ocean
gather	disperse
gzip	gunzip
irresoluteness	resoluteness
postnuptial	prenuptial
hallowed	unhallowed
comfortably	uncomfortably
liberator	oppressor
temper	calm
underfiring	overfiring
rock	sand
swayable	unswayable
ungeographical	geographical
wreck	make
approbation	disapprobation
must	have
seeded	unseeded
recommend	disapprove
unavailability	availability
useful	useless
body	mind
diminutive	augmentative
minority	majority
sesquipedalian	monosyllabic
onglide	offglide
plant	tree
roof	floor
intranslatability	translatability
earthrise	earthset
knottable	unknottable
competence	incompetence
incontinent	restrained
section	whole
univocal	equivocal
inconsequentiality	consequentiality
superadditive	subadditive
cold	baking
inhospitably	hospitably
stenobathic	eurybathic
thermophilic	psychrophilic
unspecified	specified
adopt	child
party	stay
shakable	unshakable
suppressible	unsuppressible
insufficient	sufficient
middle	front
quadruple	quarter
neighbour	bore
offensive	defensive
detriment	benefit
guilty	innocent
kayfabe	shoot
anaplerosis	cataplerosis
good	evil
roll	stop
ineligibility	eligibility
library	store
ground	water
earthie	alien
win	lost
damaged	undamaged
free	enslaved
defriend	friend
mother	dad
fall	increase
destructible	constructible
heterosexually	homosexually
lazy	hard
deflavorize	flavorize
sisterlike	unsisterlike
irritate	please
replicability	irreplicability
rise	lay
hope	apathy
outdoors	indoors
polysyllabic	brachysyllabic
could	cant
hypochlorhydria	hyperchlorhydria
efferently	afferently
stare	ignore
miscible	immiscible
maskable	nonmaskable
western	eastern
quicken	slow
heterotelomeric	homotelomeric
lefty	righty
corroboration	disproof
roll	biscuit
unsmooth	smooth
condemn	save
maleficence	benevolence
covert	overt
unflappable	flappable
dissent	agree
just	unfair
pain	feel
focussed	unfocussed
buff	debuff
extramaze	intramaze
glorify	vilify
lose	tight
extenuate	aggravate
impracticability	practicability
organization	chaos
subordinate	boss
doubtless	uncertain
typed	untyped
view	blocked
counterintuitive	intuitive
anaplerotic	cataplerotic
wound	healed
egosyntonicity	egodystonicity
good	bad
fannish	unfannish
impede	assist
month	year
inwards	outwards
unrated	rated
submissive	dominant
guest	host
stem	leaf
estimate	precise
copy	unique
advance	payment
infallible	faultful
intrinsicness	extrinsicness
micrergate	macrergate
fiction	fact
uncopyrightability	copyrightability
untypical	typical
harvest	planting
reliable	unreliable
destigmatization	stigmatization
syncranterian	diacranterian
disestablishment	establishment
homeothermic	ectothermic
eradicate	radicate
honorable	despicable
holy	damaged
foreign	native
innumerous	unnumerous
translatability	intranslatability
macrometeorology	micrometeorology
republic	democrat
cultivar	wildling
empower	bar
faulty	faultless
pain	pleasure
unscrupulously	scrupulously
documentable	undocumentable
front	back
slander	glorification
polite	rude
truth	false
singleton	wedder
useless	useful
bill	straight
copy	paste
muslimphobe	muslimophile
driver	passenger
happily	sadly
sham	real
underexplored	overexplored
sing	talk
sorrow	joy
wantrust	trust
defeatable	impregnable
termination	continuation
represent	lawyer
incomparable	comparable
anarchy	order
stale	fresh
effectual	ineffectual
mortality	eternality
friendshipper	shipper
plu	nokd
falsehood	hood
lost	won
smoke	clear
valid	invalid
future	past
around	here
positive	nonpositive
sterilizable	unsterilizable
algebraic	transcendental
desdemona	eudaimonia
antiemetic	emetic
irreducible	reducible
copyrighted	uncopyrighted
latent	apparent
paint	use
ill	healthy
rise	sunset
textile	naturist
underwithhold	overwithhold
home	outside
cabin	palace
epicenter	hypocenter
character	real
homodox	heterodox
accrue	amortize
busy	free
egg	sperm
afferently	efferently
glad	sorrowful
babyface	heel
burn	build
narcissistic	nonnarcissistic
polysemous	univocal
longsightedness	myopia
provide	take
approximately	precisely
short	long
visibly	invisibly
top	bottom
obscure	known
toe	tail
fine	coarse
flexible	inflexible
break	put
frontness	backness
adventurous	nervous
genuine	ingenuine
paterfamilias	materfamilias
remove	settle
undermind	overmind
walk	ride
unaccountably	responsibly
maleficence	beneficence
septentrional	austral
cover	underneath
faith	disbelief
underinflation	overinflation
literati	illiterati
download	upload
scarce	plenty
appreciation	depreciation
covered	uncovered
onto	off
value	void
exfill	infill
caloric	noncaloric
advantageously	disadvantageously
organize	up
beginning	conclusion
necessary	unneeded
mitigate	aggrandize
law	chaos
overwithhold	underwithhold
zero	pole
girly	butch
crowd	deserted
lyophobe	lyophilic
arise	repose
weak	potent
average	outstanding
earlycomer	latecomer
monosemy	polysemy
ineradicable	eradicable
trivial	significant
divest	invest
realisticness	unrealisticness
mediocre	distinguished
learning	forgetting
aliphatic	aromatic
suburban	nonsuburban
spendthrift	thrifty
farmer	dweller
ransomable	unransomable
documentary	fiction
matrilateral	patrilateral
inconvenience	convenience
empower	dishearten
radioquiet	radioloud
loss	gain
unsophisticate	sophisticate
early	tardy
befoe	befriend
inaudibly	loudly
distinguish	confuse
specificity	genericity
unseatbelted	seatbelted
monsoon	season
step	ramp
imitation	creation
philogyny	philandry
dower	curtesy
significant	negligible
roll	sit
unpaid	paid
master	slave
metal	stone
quantified	unquantified
material	spiritual
depose	restore
old	current
villain	hero
armenophile	armenophobe
signedness	unsignedness
nonsense	sensible
well	poorly
property	public
line	circle
ailurophobic	ailurophilic
inbreathe	outbreathe
innerwear	overwear
conformal	disformal
most	fewest
underbuild	overbuild
unstoppable	stoppable
in	out
ethically	unethically
warranted	unwarranted
womanly	masculine
unconsolidated	consolidated
unprintable	printable
holomictic	meromictic
slimming	fattening
clarity	confusion
malediction	benediction
noise	tone
brave	afraid
jomo	fomo
downtown	uptown
branch	center
decide	choose
precise	inexact
augmentative	diminutive
steam	cold
print	handwriting
but	and
eisegete	exegete
systemic	topical
understatement	overstatement
friendlessness	enemylessness
impracticality	practicality
remainer	brexiteer
hypsochromic	bathochromic
unreliably	reliably
below	upstream
equilobate	inequilobate
observant	unobservant
ordinary	weird
misogynistic	nonmisogynistic
clockwise	counterclockwise
sullen	content
undecidable	decidable
illiterate	literate
shade	heat
eligible	unqualified
atheist	theist
catacosmesis	climax
callee	caller
north	south
anticonstitutional	constitutional
coordination	subordination
rest	using
theftful	ingenuous
rifled	smoothbore
acropetal	basipetal
drop	pick
buy	sell
immorally	morally
glass	wall
observe	do
dance	moving
diminish	improve
invincible	vincible
print	input
estimate	actuals
camp	migrate
worsen	ameliorate
antical	postical
liquid	illiquid
beneath	above
nest	cage
nocturnal	diurnal
recombobulate	discombobulate
hold	give
intramaze	extramaze
ring	square
postlapsarian	prelapsarian
redo	undo
lender	borrower
purely	impurely
teacher	student
practically	impractically
chair	stool
enough	little
illegally	legally
uncle	niece
course	smooth
sharp	bland
suprapyramidal	infrapyramidal
nyet	da
hna	lna
foreign	american
disdain	honor
heterologous	autologous
internally	externally
swizzle	unswizzle
uninflammable	flammable
underevaluate	overevaluate
like	unlike
shortsighted	farsighted
inoperational	operational
polygenist	monogenist
king	queen
nationalism	internationalism
clear	obscured
competent	incompetent
beginning	ending
heteroeroticism	homoeroticism
curiosity	ignorance
battle	friend
pluri	uni
compact	spread
now	time
land	ocean
combinability	separability
adiabatic	nonadiabatic
perfect	imperfect
protect	endanger
apophatic	cataphatic
dispose	disincline
transcendence	immanence
peacetime	wartime
corroboration	refutation
hepatofugal	hepatopetal
and	but
activity	passivity
ectal	ental
underdog	favourite
stepside	fleetside
unhearing	hearing
difference	similarity
directed	undirected
l1	l2
now	then
neglect	taking
corticogeniculate	geniculocortical
badder	gooder
aspirated	unaspirated
underact	overact
lady	gentlemen
minus	plus
aisle	window
unbelievable	feasible
grimeless	dirty
subjectiveness	objectiveness
next	last
talk	up
specificness	genericness
objectivity	subjectivity
ciliostimulatory	cilioinhibitory
impressed	unimpressed
unmodifiable	modifiable
much	little
legitimate	illegitimate
ready	prepared
intrahabitat	interhabitat
polish	tarnish
impavid	pavid
relativeness	absoluteness
silk	cotton
heterolingual	homolingual
brainiac	dumbo
vilify	glorify
disability	qualification
mav	mdv
rich	plain
rightful	unrightful
animal	human
come	go
cooked	raw
postgraduate	undergraduate
unhappy	happy
fragrant	fetid
after	before
gentle	lady
mirth	gloom
agree	argue
extroverted	introverted
fiction	documentary
pass	keep
procrastination	precrastination
unappetizingly	appetizingly
unaffordable	affordable
possible	unable
flabby	muscled
sharpened	unsharpened
senility	juvenility
retrograde	direct
list	unlist
hypotestosteronemia	hypertestosteronemia
disability	capacity
record	compact
characteristic	uncharacteristic
blind	see
cut	weld
compare	contrast
careless	careful
underactivity	overactivity
equal	unfair
liked	unliked
inadmissible	admissible
unmachicolated	machicolated
avoidable	inavoidable
birthday	time
nominal	real
air	water
finite	endless
tad	lot
rigidity	malleability
claim	deny
music	racket
underspun	overspun
exaggerate	understate
ventrad	dorsad
blessing	malediction
monologue	dialogue
square	circle
xnand	xand
superlunary	sublunary
idioelectric	anelectric
nose	eyes
fewest	most
superordinate	subordinate
minimality	maximality
protest	accept
attempt	leave
branch	trunk
stay	leave
debt	surplus
sufficient	nonsufficient
successful	failed
meat	vegetables
antikinetic	prokinetic
progressive	regressive
atheophobia	atheophilia
autobiography	heterobiography
foretype	aftertype
imaginable	unimaginable
crowd	empty
just	unrighteous
passive	aggressive
unscrew	screw
navy	army
prefight	postfight
quart	gallon
heterodontism	homodontism
follow	unfollow
defensive	offensive
butter	margarine
branch	root
captain	deck
nonessential	required
genzine	apazine
baddest	goodest
courage	cowardly
intangible	tangible
more	less
previous	future
transcendental	algebraic
command	obey
hold	let
overcomeable	unovercomeable
punishment	reward
wetside	dryside
current	outdated
famous	known
baneful	productive
travel	stay
diabatic	counterdiabatic
beggar	rich
terrestrial	alien
hay	straw
lemon	lime
fetishist	normophile
inseparable	separable
adopt	give
disoblige	oblige
multicellular	monocellular
free	enchained
cloudless	cloudy
protogynous	protandrous
dress	nude
gayface	straightface
malison	benison
sky	earth
blatant	furtive
ante	post
clear	misunderstood
minute	hours
ordinary	exceptional
recalcitrant	amenable
depender	dependee
let	disallow
mile	kilometer
blind	can
younger	older
infinity	finite
dull	intelligent
unhappily	happily
care	uncaring
sinistro	dextro
alacrity	apathy
fail	achieve
enemy	friend
miss	catch
fleischig	milchig
prudent	imprudent
march	standing
must	should
stopper	fast
federalize	defederalize
idea	brainstorming
inch	metric
charge	cash
previousness	nextness
wreck	construct
clench	unclench
continuity	discontinuity
convenient	inconvenient
geofugal	geopetal
heteroecious	autoecious
hot	freezing
foreword	afterword
interiorly	exteriorly
acrimony	friendship
perspicuous	imperspicuous
pain	feels
logical	illogical
irrelevant	relevant
upsample	downsample
cry	joyfully
noncity	urban
chimera	monolith
dissensus	consensus
dictionary	thesaurus
plebeian	noble
sheep	expensive
carvable	uncarvable
exercise	sloth
emigrant	immigrant
side	corner
variety	monotony
promulgate	withhold
eye	you
intentional	unintentional
blind	ability
southern	septentrional
credible	incredible
intrafaith	interfaith
essential	accidental
ceiling	floor
brotherlike	unbrotherlike
painless	painful
underapproximation	overapproximation
writing	typing
shake	stay
inconsiderately	considerately
space	air
feather	spats
prostrate	supine
stern	bow
apotemnophobia	acrotomophilia
blonde	brunette
unbreakable	fragile
honour	dishonor
spontaneity	discipline
stick	big
concentrated	diluted
fate	free
supine	nonsupine
slippery	sticky
tentative	conclusive
chairwoman	chairman
suggestion	demand
verifiableness	unverifiableness
confirm	disconfirm
nocuous	innocuous
responsive	nonresponsive
postinformation	preinformation
do	inaction
city	suburbs
matter	nothing
considerate	inconsiderate
mutable	immutable
enlighten	endarken
underside	overside
rheonomic	scleronomic
polytonic	monotonic
factory	company
teary	dry
wave	calm
flexible	hardline
untimely	opportune
mosqued	unmosqued
dyslogy	eulogy
successful	unsuccessful
sequel	prequel
undamaging	damaging
contain	let
encouraged	discouraged
contractible	incontractible
loquacious	laconic
social	introverted
men	female
climb	go
fact	fiction
kill	let
consciously	unconsciously
abnormality	normality
hold	go
support	kernel
prolepsis	syllepsis
upset	calm
italic	upright
lightning	thunder
laughterless	laughterful
superlunar	sublunar
indefective	faulty
respect	disparagement
untidy	tidy
noise	quietness
bump	dip
pessimum	apex
uncomputerizable	computerizable
always	manywise
inextinguishable	extinguishable
aimfully	aimlessly
explain	question
best	baddest
overner	caulkhead
heterosteric	homosteric
nup	yep
backslash	slash
combinative	noncombinative
egodystonicity	egosyntonicity
forth	hence
cloud	sun
oldfangled	newfangled
past	present
lossless	lossy
uncomplicated	complicated
halt	proceed
room	kitchen
improbably	probably
motivate	demotivate
need	sufficient
overmind	undermind
tire	active
nonacoptic	acoptic
undecorated	decorated
unkind	kind
atypical	typical
sneeze	cough
obstreperosity	submission
errand	home
deliver	up
similar	different
garden	drive
danger	safe
increscent	decrescent
clever	dull
tenuis	media
nonbreakable	breakable
superlogarithm	superpower
daughter	brother
apply	quit
ingenuine	genuine
magnetisation	demagnetisation
townspeople	countryfolk
unprotected	protected
band	guitar
bluewards	redwards
claim	give
demate	mate
morning	dusk
vincible	invincible
homofermentation	heterofermentation
infallible	defective
care	unfeeling
permanence	impermanence
peace	violence
plan	spontaneous
spear	distaff
swaggering	mincing
impalpable	palpable
offer	refuse
powerless	strong
greenable	ungreenable
rap	pop
pacifist	bellicist
scrupulous	unscrupulous
consequentially	inconsequentially
biosis	abiosis
hepatopetal	hepatofugal
evolution	revolution
rarely	frequently
rapist	rapee
value	belittle
horizontally	vertically
resist	obey
concern	carefree
cooling	heaty
productive	nonproductive
mdv	mav
overmorrow	ereyesterday
overproductive	underproductive
middle	top
unearth	earth
terminus	origin
contest	support
pale	tanned
respect	diss
patrilateral	matrilateral
cisinteraction	transinteraction
preprocess	postprocess
colony	independent
land	take
home	game
extrapsychic	intrapsychic
pick	give
dowry	dower
acceptability	inacceptability
cold	hot
undodgeable	dodgeable
touristed	untouristed
atheophobic	religiophobic
downwind	windward
memory	forgetful
cover	nice
daughter	mother
virtue	vice
gassy	flat
grudge	forgive
cacography	calligraphy
disadvantageously	advantageously
incoming	outgoing
rule	submit
oligo	pluri
terminating	nonterminating
unsanctify	sanctify
affirm	deny
bullet	arrow
shoe	sock
humiliation	honor
hypogravity	hypergravity
face	heel
far	away
nutritive	nonnutritive
ephebocracy	gerontocracy
people	animal
dextromethorphan	levomethorphan
unfreeze	freeze
hyperperfusion	hypoperfusion
effigurate	effuse
connect	detach
shade	light
compact	out
overdetermine	underdetermine
watch	clock
manliness	unmanliness
box	ball
gametophytic	sporophytic
able	cane
mutatable	immutatable
northpaw	southpaw
winningest	losingest
adversarial	cooperative
run	stop
guy	girl
hyponym	hyperonym
incompliable	compliable
leaver	europhile
sell	buy
hardel	loof
flawed	perfect
deasserting	asserting
invalidate	validate
manliness	womanliness
adsorptive	nonadsorptive
hypointense	hyperintense
gloriless	glorious
clockwiseness	counterclockwiseness
new	old
presence	absence
differentiate	equate
untranslatability	translatableness
scalarize	vectorize
introspection	extrospection
transfluorescence	epifluorescence
paraphiliac	normophile
capacity	incapacity
sonorant	obstruent
hide	seek
expect	surprise
hibernal	aestival
hopeful	desperate
javase	javaee
unveil	veil
concern	uncaring
gain	loss
history	time
improve	worsen
motion	standing
pusher	pushee
slip	friction
asymptomatic	symptomatic
disruptable	undisruptable
undirected	directed
shift	unshift
dr	cr
historic	unhistoric
important	negligible
mortal	immortal
urban	bucolic
statue	moving
climb	down
energy	lazy
before	behind
perfect	wrong
patient	impatient
rationalism	traditionalism
hetero	ortho
incompatibilist	compatibilist
lady	guy
average	extraordinary
extragranular	intragranular
brick	unbrick
ultimate	proximate
immortality	mortality
bolshevism	antibolshevism
exist	death
affordable	expensive
depalatalize	palatalize
fathead	genius
pianississimo	fortississimo
symplectic	antiplectic
tautology	oxymoron
unfurl	furl
hyperpotassemia	hypopotassemia
abapical	apical
patient	macrophobic
downregulate	upregulate
hypertonic	hypotonic
epicentre	hypocentre
kyūjitai	shinjitai
underwhip	overwhip
practicable	impracticable
claim	relinquish
find	lost
diatonic	chromatic
inflexibly	flexibly
apparent	ambiguous
adaxial	abaxial
place	wherever
with	against
middle	around
improvident	provident
supermodular	submodular
forestroke	afterstroke
subfilter	superfilter
permeant	impermeant
neck	chin
steno	eury
unmanned	manned
different	homogeneous
respect	disregard
inoxidizable	oxidizable
dextro	levo
overflow	underflow
tight	loosely
bless	hell
downplay	exaggerate
beyond	before
nocturnality	diurnality
hot	bland
unscrupulous	ethical
cool	hot
away	team
divorce	marriage
smoke	clean
unpleasant	pleasant
deployment	ployment
arrival	departure
dead	life
heteromolecular	homomolecular
farside	nearside
paint	draw
benefactor	malefactor
honest	sob
unitable	disunitable
reality	surrealism
drink	pee
dream	waking
positiveness	negativeness
perfect	defective
dim	bright
multi	uni
underperceive	overperceive
saleswoman	salesman
yimby	nimby
plurilingual	unilingual
respectable	disrespectable
might	definitely
least	most
rush	leisure
p.m	a.m
descendant	ascendant
pain	good
cacophony	harmony
prezygotically	postzygotically
river	stream
modern	fashioned
autonomous	heteronomous
manor	hovel
genericity	specificity
walk	rub
knittable	unknittable
fact	lies
watsonian	doylist
idiomatical	unidiomatic
filipina	filipino
cheaply	expensively
myopia	hyperopia
offscreen	onscreen
tardiness	punctuality
nonevolutional	evolutionary
sympathetic	parasympathetic
initializable	uninitializable
limb	body
hyperglycemia	hypoglycemia
entire	part
hypersexuality	hyposexuality
pessimistic	optimistic
bearable	unbearable
sock	shoe
unsurprisedly	surprisedly
verlig	verkramp
cure	disease
metemptosis	proemptosis
torturable	untorturable
eath	difficult
underguesstimate	overguesstimate
yes'm	no'm
head	subordinate
tribalize	detribalize
undergird	undermine
virtual	legal
qualitatively	quantitatively
correctness	incorrectness
albino	hypermelanistic
divisibility	combinability
redward	bluewards
danger	safety
distinguished	mediocre
mountain	ground
direct	about
lose	win
undress	dress
captain	peon
dialogue	multilogue
delible	indelible
stop	go
talk	silently
transparent	obscure
slight	significant
delible	unerasable
flow	stagnant
mindless	mindful
contingency	inevitability
preserve	ruin
hide	found
master	mistress
wrecker	builder
esthetical	inaesthetic
shiny	dull
stenotherm	eurytherm
unorthodox	orthodox
domain	range
microbe	macro
respectful	disdainful
affluent	indigent
unity	plurality
urban	rural
unsalted	salted
glad	depressed
deskin	enskin
or	nor
foretest	aftertest
pauci	multi
consequentialness	inconsequentialness
amelioratingly	deterioratingly
voice	mute
lipophobic	lipophilic
middle	outsides
plain	decorated
upregulate	downregulate
eugnathic	dysgnathic
inhabitable	uninhabitable
pregraduate	postgraduate
expedite	impede
systole	diastole
round	straight
grandson	grandmother
deductible	nondeductible
deducible	nondeducible
stranger	compatriot
endoenergetic	exoenergetic
religious	irreligious
hypolobated	hyperlobated
washen	unwashen
heterococcolithophore	holococcolithophore
nursery	school
pauci	poly
untrue	veracious
calm	frustrated
desalt	salinate
buy	money
cool	warm
modular	monolithic
unrealizable	realizable
hyperallometry	hypoallometry
disinfectant	infect
entry	departure
hypermetropia	myopia
soft	abrasive
underwhelm	overawe
legalism	antilegalism
it	else
complete	finished
qualia	quanta
venturesomely	timidly
postposed	preposed
floor	ceiling
table	floor
batonic	iconic
hardship	softship
local	foreign
retroversion	anteversion
viscid	inviscid
rent	owning
wind	air
hypochromic	hyperchromic
immortality	can
moving	stationary
masochism	sadism
honorable	contemptible
negative	positive
hygienic	unhygienic
digital	undigital
leading	trailing
contain	release
accusatorial	inquisitorial
move	easy
rain	drought
clean	filthy
interchromosomal	intrachromosomal
filling	tooth
oxidative	reductive
assident	pathognomonic
brexiter	remainiac
obscure	well
space	ground
masculine	feminine
caffeinated	unleaded
country	metal
timid	reckless
overfired	underfired
lenient	strict
macroscopic	microscopic
pork	chicken
river	lake
lockable	unlockable
calcifuge	calcicole
supinated	pronated
noninstrumental	instrumental
posteriormost	anteriormost
against	away
weather	sunny
heteroromantic	homoromantic
commentative	diegetic
answerability	unanswerability
simply	complexly
cut	paste
polysemic	univocal
indestructible	destructible
keep	lose
thanatos	eros
finish	incomplete
layman	specialist
ignorable	informative
rest	moving
townspeople	hicks
return	leave
invincible	weak
describability	indescribableness
unpressurized	pressurized
climb	related
macroheterogeneity	microheterogeneity
offence	defense
fall	summer
ionophilic	ionophobic
drinker	teetotaler
indisputably	disputably
attributive	predicative
separation	being
synonymity	antonymy
lambent	biting
onto	under
sound	light
misobservance	observance
monotonic	polytonic
